year,registry_group_number,registry_group_name,region,prov_terr,district,pop_on_reserve_crown_land_men,pop_on_reserve_crown_land_women,pop_on_reserve_crown_land_total,pop_off_reserve_men,pop_off_reserve_women,pop_off_reserve_total,pop_total_men,pop_total_women,pop_total_total
2022,173,Zhiibaahaasing First Nation,Ontario,Ontario,Sudbury District,32,33,65,59,59,118,91,92,183
2022,174,Magnetawan,Ontario,Ontario,Sudbury District,47,33,80,123,131,254,170,164,334
2022,175,Wikwemikong,Ontario,Ontario,Sudbury District,1633,1637,3270,2434,2873,5307,4067,4510,8577
2022,176,Sheguiandah,Ontario,Ontario,Sudbury District,91,87,178,123,151,274,214,238,452
2022,178,Sheshegwaning,Ontario,Ontario,Sudbury District,56,62,118,163,185,348,219,247,466
2022,179,Sagamok Anishnawbek,Ontario,Ontario,Sudbury District,836,792,1628,732,831,1563,1568,1623,3191
2022,180,Aundeck-Omni-Kaning,Ontario,Ontario,Sudbury District,211,185,396,245,277,522,456,462,918
2022,181,M'Chigeeng First Nation,Ontario,Ontario,Sudbury District,478,474,952,856,932,1788,1334,1406,2740
2022,182,Constance Lake,Ontario,Ontario,Western District,466,421,887,452,465,917,918,886,1804
2022,183,Eabametoong First Nation,Ontario,Ontario,Western District,905,753,1658,571,596,1167,1476,1349,2825
2022,184,Long Lake No.58 First Nation,Ontario,Ontario,Western District,275,272,547,644,653,1297,919,925,1844
2022,185,Ginoogaming First Nation,Ontario,Ontario,Western District,117,104,221,366,393,759,483,497,980
2022,186,Martin Falls,Ontario,Ontario,Western District,211,185,396,213,244,457,424,429,853
2022,187,Fort William,Ontario,Ontario,Western District,514,511,1025,851,922,1773,1365,1433,2798
2022,188,Gull Bay,Ontario,Ontario,Western District,223,179,402,576,605,1181,799,784,1583
2022,189,Lac Des Mille Lacs,Ontario,Ontario,Western District,X,X,X,X,X,X,314,323,637
2022,190,Whitesand,Ontario,Ontario,Western District,213,193,406,458,464,922,671,657,1328
2022,191,Pays Plat,Ontario,Ontario,Western District,47,36,83,98,111,209,145,147,292
2022,192,Biigtigong Nishnaabeg,Ontario,Ontario,Western District,251,280,531,363,385,748,614,665,1279
2022,193,Red Rock,Ontario,Ontario,Western District,147,151,298,954,1010,1964,1101,1161,2262
2022,194,Animbiigoo Zaagi'igan Anishinaabek,Ontario,Ontario,Western District,45,39,84,216,256,472,261,295,556
2022,195,Pic Mobert,Ontario,Ontario,Western District,186,163,349,374,369,743,560,532,1092
2022,196,Bingwi Neyaashi Anishinaabek,Ontario,Ontario,Western District,43,38,81,146,131,277,189,169,358
2022,197,Biinjitiwaabik Zaaging Anishinaabek,Ontario,Ontario,Western District,171,166,337,229,237,466,400,403,803
2022,198,Batchewana First Nation,Ontario,Ontario,Sudbury District,392,425,817,1079,1253,2332,1471,1678,3149
2022,199,Garden River First Nation,Ontario,Ontario,Sudbury District,676,667,1343,947,1069,2016,1623,1736,3359
2022,200,Mississauga,Ontario,Ontario,Sudbury District,186,206,392,519,563,1082,705,769,1474
2022,201,Serpent River,Ontario,Ontario,Sudbury District,185,209,394,547,608,1155,732,817,1549
2022,202,Thessalon,Ontario,Ontario,Sudbury District,60,57,117,459,500,959,519,557,1076
2022,203,Mishkeegogamang,Ontario,Ontario,Sioux Lookout District,653,611,1264,355,433,788,1008,1044,2052
2022,204,North Caribou Lake,Ontario,Ontario,Sioux Lookout District,438,521,959,121,146,267,559,667,1226
2022,205,Lac Seul,Ontario,Ontario,Sioux Lookout District,523,469,992,1317,1406,2723,1840,1875,3715
2022,206,Wapekeka,Ontario,Ontario,Sioux Lookout District,X,X,505,X,X,14,248,271,519
2022,207,Bearskin Lake,Ontario,Ontario,Sioux Lookout District,264,229,493,209,252,461,473,481,954
2022,208,Pikangikum,Ontario,Ontario,Sioux Lookout District,1661,1530,3191,68,56,124,1729,1586,3315
2022,209,Kitchenuhmaykoosib Inninuwug,Ontario,Ontario,Sioux Lookout District,604,602,1206,279,258,537,883,860,1743
2022,210,Kasabonika Lake,Ontario,Ontario,Sioux Lookout District,576,586,1162,29,34,63,605,620,1225
2022,211,Sandy Lake,Ontario,Ontario,Sioux Lookout District,1396,1305,2701,247,252,499,1643,1557,3200
2022,212,Kingfisher,Ontario,Ontario,Sioux Lookout District,292,281,573,32,28,60,324,309,633
2022,213,Muskrat Dam Lake,Ontario,Ontario,Sioux Lookout District,136,148,284,106,117,223,242,265,507
2022,214,Sachigo Lake,Ontario,Ontario,Sioux Lookout District,290,290,580,181,209,390,471,499,970
2022,215,Fort Severn,Ontario,Ontario,Sioux Lookout District,278,281,559,75,92,167,353,373,726
2022,216,Cat Lake,Ontario,Ontario,Sioux Lookout District,362,328,690,67,80,147,429,408,837
2022,217,Wunnumin,Ontario,Ontario,Sioux Lookout District,304,291,595,58,59,117,362,350,712
2022,218,Dokis,Ontario,Ontario,Sudbury District,110,94,204,617,588,1205,727,682,1409
2022,219,Matachewan,Ontario,Ontario,Western District,37,23,60,441,496,937,478,519,997
2022,220,Nipissing First Nation,Ontario,Ontario,Sudbury District,517,504,1021,999,1179,2178,1516,1683,3199
2022,221,Chapleau Cree First Nation,Ontario,Ontario,Western District,34,31,65,343,294,637,377,325,702
2022,222,Temagami First Nation,Ontario,Ontario,Sudbury District,132,122,254,381,391,772,513,513,1026
2022,223,Missanabie Cree,Ontario,Ontario,Western District,X,X,X,X,X,X,308,293,601
